truth_azimuth_deg,truth_elevation_deg,rx_order,tx_order,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg,score,identity_order
10.0,2.0,"1,0,3,2","1,2,0,3",-23.0,10.0,-33.0,8.0,0.6842571242746767,False
10.0,2.0,"1,0,3,2","1,2,3,0",-56.0,15.0,-66.0,13.0,0.5946143162339323,False
10.0,2.0,"1,0,3,2","1,3,0,2",-41.0,7.0,-51.0,5.0,0.8557522389963106,False
10.0,2.0,"1,0,3,2","1,3,2,0",19.0,19.0,9.0,17.0,0.8722699800173455,False
10.0,2.0,"1,0,3,2","2,0,1,3",-23.0,-13.0,-33.0,-15.0,0.5959763250112522,False
10.0,2.0,"1,0,3,2","2,0,3,1",-13.0,0.0,-23.0,-2.0,0.8125450611475662,False
10.0,2.0,"1,0,3,2","2,1,0,3",15.0,2.0,5.0,0.0,0.8778056837291247,False
10.0,2.0,"1,0,3,2","2,1,3,0",-53.0,4.0,-63.0,2.0,0.8836390746061591,False
10.0,2.0,"1,0,3,2","2,3,0,1",-32.0,15.0,-42.0,13.0,0.8641822905122636,False
10.0,2.0,"1,0,3,2","2,3,1,0",11.0,8.0,1.0,6.0,0.8051386007722948,False
10.0,2.0,"1,0,3,2","3,0,1,2",-53.0,4.0,-63.0,2.0,0.5946703323173708,False
10.0,2.0,"1,0,3,2","3,0,2,1",25.0,1.0,15.0,-1.0,0.7809956152060841,False
10.0,2.0,"1,0,3,2","3,1,0,2",11.0,-8.0,1.0,-10.0,0.8861154497173768,False
10.0,2.0,"1,0,3,2","3,1,2,0",36.0,-19.0,26.0,-21.0,0.8863785564637421,False
10.0,2.0,"1,0,3,2","3,2,0,1",57.0,7.0,47.0,5.0,0.6735149756447101,False
10.0,2.0,"1,0,3,2","3,2,1,0",6.0,-10.0,-4.0,-12.0,0.8104891184595365,False
10.0,2.0,"1,2,0,3","0,1,2,3",-25.0,0.0,-35.0,-2.0,0.5899378834881671,False
10.0,2.0,"1,2,0,3","0,1,3,2",-11.0,-8.0,-21.0,-10.0,0.5848337475574769,False
10.0,2.0,"1,2,0,3","0,2,1,3",13.0,0.0,3.0,-2.0,0.5625600482163992,False
10.0,2.0,"1,2,0,3","0,2,3,1",56.0,-15.0,46.0,-17.0,0.4126930282205632,False
10.0,2.0,"1,2,0,3","0,3,1,2",53.0,-4.0,43.0,-6.0,0.5605021828310175,False
10.0,2.0,"1,2,0,3","0,3,2,1",-34.0,-8.0,-44.0,-10.0,0.5813658542672214,False
10.0,2.0,"1,2,0,3","1,0,2,3",-57.0,-7.0,-67.0,-9.0,0.5326463906222025,False
10.0,2.0,"1,2,0,3","1,0,3,2",-6.0,10.0,-16.0,8.0,0.5480339767437824,False
10.0,2.0,"1,2,0,3","1,2,0,3",-23.0,-4.0,-33.0,-6.0,0.4553788644948823,False
10.0,2.0,"1,2,0,3","1,2,3,0",56.0,-18.0,46.0,-20.0,0.40677582826571024,False
10.0,2.0,"1,2,0,3","1,3,0,2",58.0,-7.0,48.0,-9.0,0.591766555941283,False
10.0,2.0,"1,2,0,3","1,3,2,0",-28.0,-16.0,-38.0,-18.0,0.5859822637354182,False
10.0,2.0,"1,2,0,3","2,0,1,3",-11.0,-8.0,-21.0,-10.0,0.3940817513896863,False
10.0,2.0,"1,2,0,3","2,0,3,1",15.0,-17.0,5.0,-19.0,0.5500387374514549,False
10.0,2.0,"1,2,0,3","2,1,0,3",-12.0,-9.0,-22.0,-11.0,0.5942167718186491,False
10.0,2.0,"1,2,0,3","2,1,3,0",-18.0,5.0,-28.0,3.0,0.5897429789912381,False
10.0,2.0,"1,2,0,3","2,3,0,1",-58.0,-13.0,-68.0,-15.0,0.5802977795853208,False
10.0,2.0,"1,2,0,3","2,3,1,0",-39.0,-16.0,-49.0,-18.0,0.5686509533780031,False
10.0,2.0,"1,2,0,3","3,0,1,2",-18.0,5.0,-28.0,3.0,0.39451569627030436,False
10.0,2.0,"1,2,0,3","3,0,2,1",-53.0,12.0,-63.0,10.0,0.52862111107353,False
