actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,azimuth_error_deg,elevation_error_deg
ideal_half_lambda,pcb_copper_centroid,40.0,0.0,0.011964370709822272,-0.00028977563204602927,-39.98803562929018,-0.00028977563204602927
ideal_half_lambda,pcb_copper_centroid,60.0,0.0,0.01611955314687503,-0.00039041365292123703,-59.98388044685313,-0.00039041365292123703
ideal_half_lambda,pcb_copper_centroid,-60.0,10.0,-0.014568654891374452,0.002017093563716477,59.98543134510862,-9.997982906436283
ideal_half_lambda,pcb_copper_centroid,-40.0,10.0,-0.010476599034426399,0.001917984460453779,39.989523400965574,-9.998082015539547
ideal_half_lambda,pcb_copper_centroid,-20.0,10.0,-0.004963387174009558,0.0017844551268567307,19.99503661282599,-9.998215544873144
ideal_half_lambda,pcb_copper_centroid,0.0,10.0,0.0013060059796316398,0.0016326111712450589,0.0013060059796316398,-9.998367388828754
ideal_half_lambda,pcb_copper_centroid,20.0,10.0,0.007575399147972028,0.001480767215644802,-19.99242460085203,-9.998519232784355
ideal_half_lambda,pcb_copper_centroid,40.0,10.0,0.013088611045608583,0.001347237882076699,-39.98691138895439,-9.998652762117922
ideal_half_lambda,pcb_copper_centroid,60.0,10.0,0.017180666944881327,0.00124812877884721,-59.98281933305512,-9.998751871221152
ideal_half_lambda,pcb_copper_centroid,-60.0,20.0,-0.012575095440671239,0.0035824851087934003,59.987424904559326,-19.996417514891206
ideal_half_lambda,pcb_copper_centroid,-40.0,20.0,-0.008670501208499036,0.00348791630302794,39.9913294987915,-19.99651208369697
ideal_half_lambda,pcb_copper_centroid,-20.0,20.0,-0.003409855692061123,0.0033605040957067484,19.996590144307937,-19.996639495904294
ideal_half_lambda,pcb_copper_centroid,0.0,20.0,0.0025723296320913414,0.0032156162794458763,0.0025723296320913414,-19.996784383720556
ideal_half_lambda,pcb_copper_centroid,20.0,20.0,0.008554514982603739,0.003070728463205464,-19.991445485017397,-19.996929271536793
