ID,X,Y,ROTATION,PATTERN,SOURCEDESIGNATOR,SOURCEDESCRIPTION,SOURCEFOOTPRINTLIBRARY,SOURCELIBREFERENCE,rf_name_candidate,status
284,4771.8412mil,4559.0186mil, 0.00000000000000E+0000,0402L,C158,"CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0006350-2,False,inventory_only
285,4416.2092mil,4846.2153mil, 9.00000000000000E+0001,0603L,C159,"CAP, CERM, 1 uF, 16 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0603",Vault,CMP-0007136-5,False,inventory_only
286,4491.5786mil,4846.3413mil, 9.00000000000000E+0001,0402L,C160,"CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0006350-2,False,inventory_only
287,4451.0871mil,5547.1762mil, 0.00000000000000E+0000,0805_HV,C161,"CAP, CERM, 0.1 uF, 100 V, +/- 10%, X7R, AEC-Q200 Grade 1, 0805",Vault,CMP-0007969-2,False,inventory_only
288,4867.7974mil,5544.205mil, 1.80000000000000E+0002,0402L,C162,"CAP, CERM, 22 pF, 50 V, +/- 1%, C0G/NP0, 0402",Vault,CMP-0006438-2,False,inventory_only
289,5221.7063mil,4382.3081mil, 0.00000000000000E+0000,0402L,C163,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
290,5359.1787mil,4195.1462mil, 0.00000000000000E+0000,0402L,C164,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
291,5714.0717mil,4180.4972mil, 0.00000000000000E+0000,0402L,C165,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
292,4849.281mil,5510.3592mil, 0.00000000000000E+0000,0402L,C166,"CAP, CERM, 47 pF, 50 V, +/- 1%, C0G/NP0, 0402",Vault,CMP-0006467-2,False,inventory_only
293,3826.169mil,5547.2765mil, 1.80000000000000E+0002,1206L,C167,"CAP, CERM, 4700 pF, 1000 V, +/- 10%, X7R, 1206",Vault,CMP-0008920-2,False,inventory_only
294,5688.8983mil,4392.7668mil, 9.00000000000000E+0001,0402L,C168,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
295,5240.352mil,3810.8652mil, 0.00000000000000E+0000,0805_155,C169,"CAP, CERM, 22 �F, 6.3 V,+/- 20%, X7T, AEC-Q200 Grade 1, 0805",Vault,CMP-0860846-1,False,inventory_only
296,5562.5504mil,4202.2126mil, 2.70000000000000E+0002,0402L,C170,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
297,5600.8268mil,4174.0175mil, 2.70000000000000E+0002,0402L,C172,"CAP, CERM, 0.22 �F, 16 V,+/- 10%, X7R, AEC-Q200 Grade 1, 0402",Vault,CMP-0078265-1,False,inventory_only
298,5349.972mil,2571.4369mil, 2.70000000000000E+0002,FP-CGA4J1X7R1H475K125AC_0805-MFG,C173,Cap Ceramic 4.7uF 50V X7R 10% Pad SMD 0805 +125�C Automotive T/R,Vault,CMP-0090082-1,False,inventory_only
