actual_model,assumed_model,truth_azimuth_deg,truth_elevation_deg,estimated_azimuth_deg,estimated_elevation_deg,score,azimuth_error_deg,elevation_error_deg
cfg_candidate,pcb_centroid_candidate,-20.0,0.0,-59.0,12.0,0.9919283289601529,-39.0,12.0
cfg_candidate,pcb_centroid_candidate,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cfg_candidate,pcb_centroid_candidate,20.0,0.0,59.0,-12.0,0.991928328960152,39.0,-12.0
cfg_candidate,pcb_centroid_candidate,40.0,0.0,-54.0,-13.0,0.9910361769499053,-94.0,-13.0
cfg_candidate,pcb_centroid_candidate,60.0,0.0,-36.0,12.0,0.9865137121285168,-96.0,12.0
cfg_candidate,pcb_centroid_candidate,-60.0,10.0,36.0,12.0,0.9964239943122389,96.0,2.0
cfg_candidate,pcb_centroid_candidate,-40.0,10.0,3.0,15.0,0.9765458732601032,43.0,5.0
cfg_candidate,pcb_centroid_candidate,-20.0,10.0,39.0,-7.0,0.961361755596221,59.0,-17.0
cfg_candidate,pcb_centroid_candidate,0.0,10.0,0.0,-3.0,0.9999586565617669,0.0,-13.0
cfg_candidate,pcb_centroid_candidate,20.0,10.0,23.0,15.0,0.9764749905556018,3.0,5.0
cfg_candidate,pcb_centroid_candidate,40.0,10.0,-29.0,-19.0,0.9597194108114493,-69.0,-29.0
cfg_candidate,pcb_centroid_candidate,60.0,10.0,3.0,17.0,0.9640678814528263,-57.0,7.0
cfg_candidate,pcb_centroid_candidate,-60.0,20.0,-13.0,-18.0,0.9949122248471393,47.0,-38.0
cfg_candidate,pcb_centroid_candidate,-40.0,20.0,59.0,-5.0,0.9757217086440337,99.0,-25.0
cfg_candidate,pcb_centroid_candidate,-20.0,20.0,-33.0,4.0,0.9718656525649086,-13.0,-16.0
cfg_candidate,pcb_centroid_candidate,0.0,20.0,0.0,14.0,0.963466378924868,0.0,-6.0
cfg_candidate,pcb_centroid_candidate,20.0,20.0,-54.0,7.0,0.9541518101329777,-74.0,-13.0
cfg_candidate,pcb_centroid_candidate,40.0,20.0,3.0,-18.0,0.9712139694305771,-37.0,-38.0
cfg_candidate,pcb_centroid_candidate,60.0,20.0,-40.0,19.0,0.9997489881875495,-100.0,-1.0
pcb_centroid_candidate,ideal_half_lambda,-60.0,-20.0,-4.0,-16.0,0.5536170852077043,56.0,4.0
pcb_centroid_candidate,ideal_half_lambda,-40.0,-20.0,17.0,20.0,0.36368233792931953,57.0,40.0
pcb_centroid_candidate,ideal_half_lambda,-20.0,-20.0,4.0,18.0,0.8697170149032272,24.0,38.0
pcb_centroid_candidate,ideal_half_lambda,0.0,-20.0,-45.0,0.0,0.47704310146198203,-45.0,20.0
pcb_centroid_candidate,ideal_half_lambda,20.0,-20.0,-6.0,-18.0,0.9653452626952431,-26.0,2.0
pcb_centroid_candidate,ideal_half_lambda,40.0,-20.0,-60.0,-20.0,0.41311536103921825,-100.0,0.0
pcb_centroid_candidate,ideal_half_lambda,60.0,-20.0,57.0,16.0,0.5116235022544116,-3.0,36.0
pcb_centroid_candidate,ideal_half_lambda,-60.0,-10.0,25.0,-20.0,0.6092366904515821,85.0,-10.0
pcb_centroid_candidate,ideal_half_lambda,-40.0,-10.0,-18.0,9.0,0.5679874287797615,22.0,19.0
pcb_centroid_candidate,ideal_half_lambda,-20.0,-10.0,-2.0,-1.0,0.05250787974244724,18.0,9.0
pcb_centroid_candidate,ideal_half_lambda,0.0,-10.0,-2.0,0.0,0.8024568542571795,-2.0,10.0
pcb_centroid_candidate,ideal_half_lambda,20.0,-10.0,-2.0,1.0,0.06503787437627735,-22.0,11.0
pcb_centroid_candidate,ideal_half_lambda,40.0,-10.0,14.0,-9.0,0.925609625479789,-26.0,1.0
pcb_centroid_candidate,ideal_half_lambda,60.0,-10.0,60.0,20.0,0.5312357185140641,0.0,30.0
pcb_centroid_candidate,ideal_half_lambda,-60.0,0.0,-60.0,1.0,0.03659314332842824,0.0,1.0
pcb_centroid_candidate,ideal_half_lambda,-40.0,0.0,10.0,20.0,0.2833321338388416,50.0,20.0
pcb_centroid_candidate,ideal_half_lambda,-20.0,0.0,-37.0,11.0,0.8289651326196523,-17.0,11.0
pcb_centroid_candidate,ideal_half_lambda,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pcb_centroid_candidate,ideal_half_lambda,20.0,0.0,37.0,-11.0,0.8289651326196514,17.0,-11.0
pcb_centroid_candidate,ideal_half_lambda,40.0,0.0,-10.0,-20.0,0.2833321338388395,-50.0,-20.0
pcb_centroid_candidate,ideal_half_lambda,60.0,0.0,60.0,-1.0,0.03659314332842741,0.0,-1.0
pcb_centroid_candidate,ideal_half_lambda,-60.0,10.0,-60.0,-20.0,0.5312357185140625,0.0,-30.0
pcb_centroid_candidate,ideal_half_lambda,-40.0,10.0,-14.0,9.0,0.9256096254797884,26.0,-1.0
pcb_centroid_candidate,ideal_half_lambda,-20.0,10.0,2.0,-1.0,0.06503787437627673,22.0,-11.0
pcb_centroid_candidate,ideal_half_lambda,0.0,10.0,2.0,0.0,0.802456854257175,2.0,-10.0
pcb_centroid_candidate,ideal_half_lambda,20.0,10.0,2.0,1.0,0.05250787974244777,-18.0,-9.0
pcb_centroid_candidate,ideal_half_lambda,40.0,10.0,18.0,-9.0,0.5679874287797592,-22.0,-19.0
pcb_centroid_candidate,ideal_half_lambda,60.0,10.0,-25.0,20.0,0.6092366904515791,-85.0,10.0
pcb_centroid_candidate,ideal_half_lambda,-60.0,20.0,-57.0,-16.0,0.5116235022544159,3.0,-36.0
pcb_centroid_candidate,ideal_half_lambda,-40.0,20.0,60.0,20.0,0.4131153610392201,100.0,0.0
pcb_centroid_candidate,ideal_half_lambda,-20.0,20.0,6.0,18.0,0.9653452626952405,26.0,-2.0
pcb_centroid_candidate,ideal_half_lambda,0.0,20.0,45.0,0.0,0.47704310146198187,45.0,-20.0
pcb_centroid_candidate,ideal_half_lambda,20.0,20.0,-4.0,-18.0,0.8697170149032257,-24.0,-38.0
pcb_centroid_candidate,ideal_half_lambda,40.0,20.0,-17.0,-20.0,0.36368233792931726,-57.0,-40.0
pcb_centroid_candidate,ideal_half_lambda,60.0,20.0,4.0,16.0,0.5536170852077051,-56.0,-4.0
pcb_centroid_candidate,cfg_candidate,-60.0,-20.0,-4.0,20.0,0.5343097123652951,56.0,40.0
pcb_centroid_candidate,cfg_candidate,-40.0,-20.0,36.0,-13.0,0.8623918090283659,76.0,7.0
pcb_centroid_candidate,cfg_candidate,-20.0,-20.0,33.0,20.0,0.5365280231745879,53.0,40.0
pcb_centroid_candidate,cfg_candidate,0.0,-20.0,1.0,20.0,0.895491230671297,1.0,40.0
pcb_centroid_candidate,cfg_candidate,20.0,-20.0,-32.0,20.0,0.5169004176643636,-52.0,40.0
pcb_centroid_candidate,cfg_candidate,40.0,-20.0,-35.0,-3.0,0.863043658962582,-75.0,17.0
